"Color";"X";"Y";"Z";"R";"G";"B";"deltaE"
"Black";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"Gray 35";"30.912584";"31.912321";"34.643070";"32.936974";"31.523327";"31.820337";"0.359826"
"Gray 50";"44.119122";"45.582939";"49.484600";"46.984776";"45.051201";"45.451969";"0.486404"
"Gray 65";"58.871597";"60.871029";"65.756805";"62.748569";"60.185612";"60.389641";"0.623500"
"Gray 80";"71.115845";"73.490944";"79.723412";"75.739876";"72.642784";"73.224899";"0.768953"
"White";"89.527443";"92.619980";"100.517601";"95.273102";"91.617874";"92.323349";"0.875457"
"Dark skin";"10.043689";"8.872544";"5.496638";"12.692571";"7.733085";"4.976493";"0.056546"
"Light skin";"34.241402";"31.717878";"23.265755";"41.602791";"28.810312";"21.167896";"0.115801"
"Blue sky";"16.376146";"17.017986";"30.679768";"14.285468";"17.075487";"28.466841";"0.169262"
"Foliage";"9.530654";"11.900919";"5.834764";"10.649188";"12.975813";"5.156482";"0.105418"
"Blue flower";"22.566486";"20.995859";"38.740639";"21.454632";"19.505774";"36.000694";"0.222379"
"Bluish green";"28.876114";"39.281235";"41.047024";"25.197960";"44.893841";"37.502892";"0.544068"
"Orange";"32.625431";"25.662134";"4.534285";"45.728317";"19.803198";"3.749994";"0.137406"
"Purplish blue";"11.968045";"10.276732";"32.833473";"8.570544";"9.151067";"30.706608";"0.113100"
"Moderate red";"24.707924";"16.352137";"11.840459";"33.597424";"10.147348";"10.892280";"0.107023"
"Purple";"7.566129";"5.669929";"12.971073";"7.684998";"4.325693";"12.112041";"0.077046"
"Yellow green";"30.965593";"39.076317";"9.842452";"36.763420";"42.677494";"8.148183";"0.484706"
"Orange yellow";"43.503139";"39.409855";"6.858913";"58.922314";"34.810936";"5.544064";"0.417540"
"Blue";"7.666057";"5.427999";"27.607553";"4.234351";"4.098791";"25.914356";"0.123153"
"Green";"12.606720";"20.096384";"8.048706";"12.453812";"24.207890";"6.946126";"0.283787"
"Red";"18.202791";"10.513924";"4.158826";"26.453451";"4.925673";"3.789762";"0.057331"
"Yellow";"53.454823";"55.680000";"8.576162";"69.783478";"54.503975";"6.641641";"0.884671"
"Magenta";"26.056202";"16.680294";"26.448130";"32.094208";"10.009272";"24.665089";"0.069765"
"Cyan";"13.357996";"17.241720";"33.457836";"8.321181";"19.493134";"31.021469";"0.242598"
